Starting!
21, 24
17, 17
18, 19
15, 18
20, 21
22, 23
19, 18
21, 26
18, 20
10, 12
19, 20
21, 24
12, 12
14, 20
16, 17
16, 21
13, 26
10, 10
13, 13
11, 11
25, 34
13, 14
15, 15
14, 19
18, 18
21, 23
25, 25
12, 14
13, 13
11, 13
22, 22
16, 26
18, 21
15, 15
13, 17
16, 20
17, 19
20, 22
22, 27
13, 13
14, 14
20, 23
17, 19
18, 18
14, 18
12, 12
16, 15
17, 19
16, 19
21, 24
12, 12
11, 14
17, 22
19, 20
15, 23
20, 20
21, 24
19, 21
24, 26
14, 14
13, 14
21, 22
19, 22
18, 18
16, 18
16, 16
15, 15
14, 17
16, 17
17, 19
18, 18
12, 13
20, 20
16, 21
23, 28
22, 24
17, 20
16, 21
15, 15
12, 15
15, 16
23, 24
15, 17
19, 23
16, 18
12, 17
15, 16
13, 19
13, 17
22, 26
24, 25
18, 18
14, 14
17, 18
15, 15
12, 14
14, 14
24, 25
18, 18
21, 23
18, 20
23, 23
17, 20
16, 17
18, 21
7, 7
17, 19
19, 23
22, 26
22, 23
14, 19
23, 29
7, 13
21, 22
15, 21
8, 8
21, 27
16, 16
21, 21
17, 17
15, 15
15, 17
18, 22
15, 15
16, 21
20, 22
15, 17
15, 15
17, 19
21, 21
9, 13
16, 25
13, 13
17, 17
13, 19
13, 17
15, 17
22, 27
16, 16
16, 16
20, 23
14, 18
17, 17
11, 13
17, 17
18, 19
21, 24
13, 15
18, 18
16, 20
15, 16
0, 17
23, 29
15, 15
16, 20
17, 17
19, 19
20, 27
13, 13
11, 13
14, 14
19, 19
17, 21
19, 20
13, 13
17, 17
19, 19
10, 16
11, 13
9, 9
10, 13
10, 12
9, 13
17, 17
22, 28
9, 9
12, 14
18, 18
14, 15
13, 17
19, 19
12, 12
14, 14
33, 34
17, 23
10, 14
13, 13
15, 15
17, 17
13, 15
21, 22
17, 17
12, 13
18, 21
16, 16
21, 22
16, 16
18, 25
12, 22
27, 30
16, 18
13, 13
13, 17
12, 15
16, 20
21, 21
18, 19
16, 17
19, 21
13, 16
16, 16
12, 12
17, 17
22, 23
13, 13
21, 21
20, 20
23, 28
16, 16
17, 18
26, 29
12, 14
10, 12
17, 18
21, 23
12, 16
16, 21
24, 27
19, 19
17, 18
25, 33
21, 23
19, 21
11, 11
12, 16
17, 24
22, 24
16, 16
15, 17
12, 16
19, 22
0, 23
14, 16
15, 15
20, 21
20, 21
13, 13
15, 15
19, 20
14, 18
10, 10
14, 17
11, 17
15, 18
23, 25
11, 13
20, 22
17, 22
17, 17
12, 17
12, 12
15, 15
28, 27
12, 12
17, 19
16, 17
13, 17
15, 17
13, 13
24, 27
22, 29
16, 17
14, 15
11, 12
16, 0
17, 18
9, 11
22, 21
7, 7
18, 19
11, 17
12, 12
23, 32
15, 19
15, 17
14, 14
16, 0
